"","date","user_id","type","value"
"407",249,82,4,2.582229137
"408",1096,32,2,2.88
"409",3779,66,2,3.4
"410",4665,17,2,0
"411",1268,50,2,2
"412",2635,80,2,1.577618599
"413",1450,17,4,2.421590328
"414",4711,97,4,2.6799998
"415",4233,83,4,2.482489824
"416",2307,38,2,1.1600001
"417",2313,97,2,3.580765247
"418",4528,56,4,3.518376827
"419",3930,93,2,3.92
"420",3143,65,4,2.3600001
"421",374,97,2,0.119999886
"422",1589,33,4,2.44
"423",3812,44,4,2.8
"424",379,19,4,4
"425",2407,90,2,2.88
"426",1269,33,4,1.9200001
"427",3861,90,4,2.56
"428",666,66,2,3.28
"429",826,71,2,1.64896369
"430",2283,11,2,1.031564713
"431",3834,10,2,2
"432",2100,46,3,1.4000001
"433",4278,64,2,2.4
"434",3672,52,4,4
"435",3567,83,2,0.03999996
"436",162,29,2,2.351036549
"437",147,3,3,2.24
"438",653,33,3,2
"439",3427,73,2,2.56
"440",1990,34,2,1.5999999
"441",2,8,2,1.72
"442",608,75,4,4
"443",3006,64,2,2.6399999
"444",2520,77,2,1.479614019
"445",326,60,2,3.24
"446",2613,4,2,2
"447",3809,91,2,3.96
"448",4089,52,1,0.899194717
"449",2083,83,4,2.6399999
"450",1348,26,4,4
"451",4196,51,2,3.6
"452",2608,43,2,3.16
"453",3555,43,4,1.52
"454",172,52,2,2.041903019
"455",2247,64,4,2.393568039
"456",1230,63,2,0.03999996
"457",3878,66,4,0.07999992
"458",3280,46,2,3
"459",4256,15,4,3
"460",4472,20,4,2.44
"461",2074,60,4,2.423429966
"462",1451,97,2,2.498794556
"463",2601,74,1,2.015140533
"464",3666,21,2,0.733107805
"465",4510,72,2,1
"466",2537,76,2,4
"467",4158,63,2,3
"468",2661,93,4,1.8800001
"469",1613,33,2,1.677283525
"470",4195,53,4,0.55999994
"471",132,46,4,2.289172649
"472",2622,32,3,2.04
"473",1857,66,2,2.614048958
"474",322,68,4,0.119999886
"475",3330,91,4,0
"476",196,47,4,3.74664259
"477",1280,66,2,4
"478",4388,59,2,2.37749815
"479",783,42,4,2
"480",3987,81,2,2.481157064
"481",280,67,4,2.12
"482",1588,3,2,1.127761602
"483",875,52,2,1.28
"484",1436,13,2,1.614929438
"485",974,4,2,0
"486",836,48,2,3.6
"487",3716,68,4,0
"488",4363,17,2,4
"489",1946,17,4,1.52
"490",1668,60,2,3.12
"491",4223,59,2,0.24000001
"492",3530,64,2,0.8800001
"493",1879,34,2,2.860725403
"494",2256,52,2,2
"495",4066,33,4,3
"496",3998,57,4,0.763338566
"497",3114,60,4,1.894872427
"498",205,46,2,2.602287292
"499",2753,90,4,3.72
"500",2050,46,2,2.12
"501",2890,46,2,3
"502",4076,33,4,2.86955452
"503",2512,17,2,0
"504",4490,33,2,2.92
"505",1963,17,3,2
"506",1774,90,1,3
"507",2345,32,4,0.327749968
"508",131,60,2,0
"509",361,75,4,3.228025198
"510",2134,71,4,3.84
"511",1071,13,4,3.92
"512",117,75,1,2.88800025
"513",1374,10,2,1.130684853
"514",3807,52,1,3.96
"515",2157,19,3,0.119999886
"516",1862,64,2,2.3200002
"517",1120,19,4,3.08
"518",1105,33,2,3.96
"519",646,52,4,0.52
"520",613,78,4,1.42550683
"521",606,33,4,3.96
"522",2731,66,4,0.55999994
"523",1897,33,4,1.8399999
"524",4611,59,2,3.4
"525",4314,34,2,0.07999992
"526",2924,33,4,4
"527",593,59,2,2.08
"528",1309,2,1,0.870762825
"529",256,60,4,2.1599998
"530",1675,59,2,4
"531",509,62,2,2.76
"532",2071,92,2,3.12
"533",2364,78,2,0
"534",1066,36,1,3.714381218
"535",3889,31,2,2.72
"536",3520,45,4,2.27212286
"537",326,52,2,1.248581648
"538",91,64,2,4
"539",881,52,2,1.6800001
"540",2915,17,4,3.012445927
"541",1528,78,4,0
"542",3811,96,2,3.68
"543",2129,40,4,1.0799999
"544",2937,51,4,1.582331657
"545",3632,59,4,2
"546",1154,65,2,3.2
"547",3084,52,4,4
"548",3983,19,2,0.296838045
"549",4383,56,4,2
"550",228,97,4,3.04
"551",4501,9,2,2.3200002
"552",2409,81,4,3.24
"553",621,75,4,2.52
"554",1709,51,2,3.52
"555",535,46,4,3.335230589
"556",4195,67,4,2.3200002
"557",344,26,4,2.983232975
"558",2470,17,4,2.983232975
"559",2863,55,4,1
"560",2583,17,4,2.901885748
"561",3324,66,2,3.2
"562",3647,33,4,2.27895689
"563",2358,67,4,3.52
"564",569,67,4,1.742344856
"565",387,52,2,1.038026333
"566",4570,76,2,3.095915794
"567",3970,90,2,3.025153637
"568",4390,64,4,1.8800001
"569",3568,54,2,2
"570",1123,90,4,3.8
"571",773,52,2,2.60948348
"572",2036,46,1,0.561877251
"573",1058,54,4,3.025153637
"574",2459,21,4,2.6399999
"575",498,39,2,1
"576",1191,48,4,1.48
"577",4162,90,4,4
"578",2845,46,2,3.825176239
"579",2164,52,4,0.88318181
"580",3721,34,4,3
"581",3489,18,2,1.769562721
"582",2681,9,4,0.197840214
"583",2167,74,4,0.07999992
"584",4222,10,2,1.109623909
"585",609,61,4,2.243603468
"586",3847,23,2,1
"587",4183,39,2,4
"588",768,21,3,3.2
"589",3289,69,2,3.04
"590",2087,61,4,2.4
"591",2637,32,2,3
"592",1517,82,2,2.04
"593",3402,52,2,4
"594",1699,65,2,1
"595",3182,27,4,2.92
"596",3794,60,4,3
"597",929,90,2,3.722584963
"598",2958,89,2,4
"599",43,10,2,3.4
"600",777,46,4,3
"601",4208,33,2,3.007124901
"602",3348,52,2,2.666840315
"603",2721,52,2,3.2
"604",3513,68,2,2.88
"605",2520,59,4,2.44
"606",386,62,4,3.560859203
"607",4144,17,2,3
"608",2705,66,2,1.190903902
"609",3710,21,2,1
"610",2812,33,2,3.92
"611",538,90,2,0
"612",1789,39,2,2.74346137
"613",3862,10,2,0.901066303
"614",1359,10,2,0.465954065
"615",2086,17,4,2.75020647
"616",3870,68,2,4
"617",735,14,2,3.111945152
"618",2745,59,2,1.394127846
"619",4518,39,2,2.88
"620",2956,75,4,2.44
"621",3663,45,4,1.050928593
"622",670,41,2,4
"623",4084,59,4,2.72
"624",2485,28,2,0.4000001
"625",4372,33,2,3.96
"626",4652,45,2,4
"627",2072,16,4,2.948668957
"628",725,39,2,3.267660379
"629",1959,33,4,1.88854003
"630",4513,46,4,2.4
"631",3618,29,4,0.837817907
"632",508,19,4,2.296107054
"633",698,50,4,3.799690485
"634",348,42,4,1.1600001
"635",2482,66,4,2.436570644
"636",1107,90,2,3.851837635
"637",423,83,3,1.88906312
"638",4638,85,2,0.986649752
"639",412,80,2,3.727458239
"640",3743,17,2,0
"641",1164,91,3,1.035830021
"642",2732,54,2,0.07999992
"643",338,21,2,3
"644",2777,59,2,0.44000006
"645",2591,92,2,2.342751026
"646",501,32,4,2.583226919
"647",2176,20,2,3.562577963
"648",3102,52,4,0.119999886
"649",2233,23,4,2.56
"650",2145,78,4,3.4
"651",4387,52,2,3.189279795
"652",775,32,4,3.61108923
"653",1743,44,3,3.694090843
"654",2728,13,2,1.3599999
"655",2541,23,1,2
"656",2558,60,2,3.4
"657",2588,66,2,4
"658",1155,47,4,2.324246883
"659",1835,70,4,1.8800001
"660",2295,15,2,3.768006563
"661",2669,78,4,3.8
"662",2588,11,4,1.5999999
"663",2765,58,2,1.4000001
"664",2341,75,4,3.098742008
"665",3483,66,2,3.113035202
"666",2813,90,2,0.03999996
"667",4552,35,4,3.2
"668",4357,39,2,2
"669",3407,90,2,4
"670",3301,59,4,3.76
"671",1189,28,2,1.8
"672",4432,86,2,4
"673",1926,23,2,3.493976831
"674",630,23,2,3.48
"675",4142,80,4,4
"676",289,46,3,2.494282484
"677",1658,94,4,3.88
"678",2537,33,4,3
"679",4525,34,4,3.445923805
"680",2798,75,2,3.876600981
"681",4578,54,4,3.2
"682",510,59,4,0.803644657
"683",4409,10,2,1.958743572
"684",2893,53,2,3.660030127
"685",4099,39,2,2.3600001
"686",3182,80,4,2.583226919
"687",848,84,2,1.8399999
"688",115,33,2,1.738219023
"689",2704,21,2,2.76
"690",1313,34,4,1.44
"691",3905,20,4,0.31999993
"692",1745,90,4,2.514914989
"693",2431,10,2,1
"694",3032,80,2,1.96
"695",2353,52,4,3
"696",1549,59,2,3.624453545
"697",3646,98,1,2
"698",1631,52,2,2.460850239
"699",2550,79,4,0.922620773
"700",4241,59,2,4
"701",1144,99,1,2.796651363
"702",4706,17,4,3.880459547
"703",2235,55,2,4
"704",2311,33,4,2.56
"705",2599,60,2,0.176487923
"706",771,34,2,3.76
"707",3973,22,2,3.96
"708",3208,14,4,3.96
"709",1497,37,4,3.48
"710",2295,52,2,3.04
"711",2006,68,4,2.28
"712",4668,31,2,2
"713",2412,64,4,3
"714",570,17,2,3.6
"715",2844,54,2,3
"716",1207,90,4,3.52
"717",2107,56,2,3.96
"718",1062,17,2,0.20000005
"719",1756,33,2,0.48000002
"720",4088,33,2,3.030375004
"721",4507,97,4,3.16616869
"722",946,33,2,2
"723",1513,82,4,2.6799998
"724",3027,34,2,3.993192196
"725",2842,75,4,3.24
"726",3128,17,3,1
"727",3060,39,2,2.090046406
"728",4619,79,2,1.275919914
"729",3261,83,4,3.8
"730",2001,33,4,1.4000001
"731",4361,85,4,0.48000002
"732",2463,52,2,2.359090805
"733",4435,9,4,3.08
"734",2284,75,4,3.16
"735",1522,33,4,0.119999886
"736",1210,23,2,1.52
"737",4243,10,3,0.78172636
"738",1971,17,4,3.92
"739",1610,90,2,1.8399999
"740",2279,40,4,3.16
"741",3772,33,4,3.8
"742",3177,33,2,4
"743",2500,93,4,2.057616234
"744",1218,83,4,1.96
"745",1567,66,2,0.119999886
